Date;All sky;Clear sky
2004\11\8;6.25;1.03
2004\11\9;6.13;0.45
2004\11\10;5.92;0.90
2004\11\11;6.56;0.86
2004\11\12;6.82;0.86
2004\11\13;7.39;0.85
2004\11\14;5.77;0.38
2004\11\15;6.80;0.76
2004\11\16;6.57;0.78
2004\11\17;5.58;0.75
2004\11\18;6.43;0.76
2004\11\19;5.28;0.71
2004\11\20;6.15;0.69
2004\11\21;5.50;0.65
2004\11\22;5.45;0.65
2004\11\23;5.73;0.61
2004\11\24;5.93;0.57
2004\11\25;5.81;0.55
2004\11\26;5.02;0.55
2004\11\27;5.18;0.53
2004\11\28;5.24;0.52
2004\11\29;6.19;0.49
2004\11\30;5.72;0.46
2004\12\1;6.30;0.44
2004\12\2;6.36;0.43
2004\12\3;6.23;0.43
2004\12\4;5.58;0.43
2004\12\5;6.60;0.39
2004\12\6;5.63;0.39
2004\12\7;6.09;0.38
2004\12\8;5.79;0.37
2004\12\9;6.47;0.37
2004\12\10;5.90;0.36
2004\12\11;6.05;0.34
2004\12\12;6.04;0.34
2004\12\13;4.75;0.36
2004\12\14;6.05;0.34
2004\12\15;6.60;0.32
2004\12\16;5.95;0.33
2004\12\17;5.77;0.32
2004\12\18;6.42;0.33
2004\12\19;6.27;0.31
2004\12\20;6.65;0.32
2004\12\21;6.01;0.32
2004\12\22;4.97;0.34
2004\12\23;5.67;0.32
2004\12\24;6.23;0.32
2004\12\25;5.83;0.34
2004\12\26;5.40;0.32
2004\12\27;5.36;0.33
2004\12\28;5.87;0.33
2004\12\29;5.82;0.34
2004\12\30;6.18;0.34
2004\12\31;5.36;0.36
2005\1\1;4.99;0.38
2005\1\2;5.49;0.39
2005\1\3;5.98;0.39
2005\1\4;6.10;0.40
2005\1\5;6.47;0.40
2005\1\6;5.83;0.42
2005\1\7;6.44;0.42
2005\1\8;6.28;0.43
2005\1\9;6.70;0.44
2005\1\10;6.37;0.47
2005\1\11;6.21;0.47
2005\1\12;6.25;0.49
2005\1\13;6.16;0.52
2005\1\14;6.45;0.53
2005\1\15;5.49;0.57
2005\1\16;6.02;0.56
2005\1\17;6.54;0.56
2005\1\18;6.07;0.60
2005\1\19;5.59;0.65
2005\1\20;6.15;0.65
2005\1\21;6.21;0.67
2005\1\22;6.03;0.70
2005\1\23;6.00;0.72
2005\1\24;5.86;0.76
2005\1\25;5.97;0.82
2005\1\26;5.24;0.86
2005\1\27;5.23;0.96
2005\1\28;5.72;0.94
2005\1\29;5.05;1.00
2005\1\30;5.46;1.03
2005\1\31;5.55;1.03
2005\2\1;5.18;1.10
2005\2\2;5.68;1.12
2005\2\3;4.64;1.22
2005\2\4;4.88;1.26
2005\2\5;5.31;1.26
2005\2\6;6.36;1.28
2005\2\7;5.70;1.31
2005\2\8;4.73;1.41
2005\2\9;5.45;1.44
2005\2\10;5.44;1.49
2005\2\11;5.93;1.49
2005\2\12;5.27;1.60
2005\2\13;5.80;1.69
2005\2\14;5.75;1.70
2005\2\15;5.45;1.69
2005\2\16;4.68;1.81
2005\2\17;4.69;1.85
2005\2\18;5.57;1.92
2005\2\19;5.66;1.98
2005\2\20;5.74;1.97
2005\2\21;5.18;2.07
2005\2\22;4.93;2.17
2005\2\23;5.26;2.24
2005\2\24;5.28;2.29
2005\2\25;5.47;2.35
2005\2\26;5.18;2.42
2005\2\27;4.90;2.52
2005\2\28;4.63;2.64
2005\3\1;5.23;2.66
2005\3\2;5.32;2.77
2005\3\3;5.04;2.82
2005\3\4;4.82;2.85
2005\3\5;4.96;2.78
2005\3\6;5.58;2.90
2005\3\7;5.45;2.97
2005\3\8;5.37;3.12
2005\3\9;4.83;3.20
2005\3\10;4.65;3.37
2005\3\11;5.19;3.40
2005\3\12;4.56;3.47
2005\3\13;4.77;3.46
2005\3\14;4.73;3.55
2005\3\15;4.70;3.63
2005\3\16;5.60;3.76
2005\3\17;6.04;3.70
2005\3\18;6.09;3.68
2005\3\19;6.19;4.04
2005\3\20;5.98;4.14
2005\3\21;5.79;4.14
2005\3\22;5.63;4.13
2005\3\23;5.68;4.08
2005\3\24;6.26;4.17
2005\3\25;6.19;4.25
2005\3\26;5.49;4.47
2005\3\27;5.52;4.57
2005\3\28;5.58;4.76
