Date,T_min,T_max,Precipitation,All sky,Clear sky
2004-01-01,-4.1,4.7,0.0,7.94,6.13
2004-01-01,-4.1,4.7,0.0,6.72,6.14
2004-01-01,-4.1,4.7,0.0,7.55,5.81
2004-01-01,-4.1,4.7,0.0,8.42,5.92
2004-01-01,-4.1,4.7,0.0,8.21,5.73
2004-01-01,-4.1,4.7,0.0,8.33,5.74
2004-01-01,-4.1,4.7,0.0,7.53,5.95
2004-01-01,-4.1,4.7,0.0,6.79,5.73
2004-01-01,-4.1,4.7,0.0,7.28,5.71
2004-01-01,-4.1,4.7,0.0,7.56,5.48
2004-01-01,-4.1,4.7,0.0,7.61,5.49
2004-01-01,-4.1,4.7,0.0,7.78,5.32
2004-01-01,-4.1,4.7,0.0,7.92,5.28
2004-01-01,-4.1,4.7,0.0,7.63,5.24
2004-01-01,-4.1,4.7,0.0,7.62,5.16
2004-01-01,-4.1,4.7,0.0,8.44,5.0
2004-01-01,-4.1,4.7,0.0,7.99,4.99
2004-01-01,-4.1,4.7,0.0,8.66,4.9
2004-01-01,-4.1,4.7,0.0,8.32,4.84
2004-01-01,-4.1,4.7,0.0,8.51,4.84
2004-01-01,-4.1,4.7,0.0,8.6,4.68
2004-01-01,-4.1,4.7,0.0,8.35,4.59
2004-01-01,-4.1,4.7,0.0,8.32,4.53
2004-01-01,-4.1,4.7,0.0,8.54,4.41
2004-01-01,-4.1,4.7,0.0,8.14,4.47
2004-01-01,-4.1,4.7,0.0,8.74,4.42
2004-01-01,-4.1,4.7,0.0,8.08,4.2
2004-01-01,-4.1,4.7,0.0,8.61,4.52
2004-01-01,-4.1,4.7,0.0,7.98,4.52
2004-01-01,-4.1,4.7,0.0,7.55,4.45
2004-01-01,-4.1,4.7,0.0,6.82,4.42
2004-01-01,-4.1,4.7,0.0,6.69,4.36
2004-01-01,-4.1,4.7,0.0,7.55,4.1
2004-01-01,-4.1,4.7,0.0,8.58,3.93
2004-01-01,-4.1,4.7,0.0,8.41,3.79
2004-01-01,-4.1,4.7,0.0,8.41,3.89
2004-01-01,-4.1,4.7,0.0,7.7,3.97
2004-01-01,-4.1,4.7,0.0,7.12,4.16
2004-01-01,-4.1,4.7,0.0,6.64,4.12
2004-01-01,-4.1,4.7,0.0,7.17,3.95
2004-01-01,-4.1,4.7,0.0,7.8,3.75
2004-01-01,-4.1,4.7,0.0,7.84,3.59
2004-01-01,-4.1,4.7,0.0,8.59,3.29
2004-01-01,-4.1,4.7,0.0,8.21,3.55
2004-01-01,-4.1,4.7,0.0,7.99,3.57
2004-01-01,-4.1,4.7,0.0,8.2,3.51
2004-01-01,-4.1,4.7,0.0,7.67,3.51
2004-01-01,-4.1,4.7,0.0,7.2,3.46
2004-01-01,-4.1,4.7,0.0,7.27,3.45
2004-01-01,-4.1,4.7,0.0,7.86,3.14
2004-01-01,-4.1,4.7,0.0,7.46,3.12
2004-01-01,-4.1,4.7,0.0,7.07,3.21
2004-01-01,-4.1,4.7,0.0,7.92,3.06
2004-01-01,-4.1,4.7,0.0,7.86,2.88
2004-01-01,-4.1,4.7,0.0,8.2,2.98
2004-01-01,-4.1,4.7,0.0,8.13,2.9
2004-01-01,-4.1,4.7,0.0,8.33,3.01
2004-01-01,-4.1,4.7,0.0,8.42,2.94
2004-01-01,-4.1,4.7,0.0,7.55,2.98
2004-01-01,-4.1,4.7,0.0,6.53,3.05
2004-01-01,-4.1,4.7,0.0,6.61,2.98
2004-01-01,-4.1,4.7,0.0,6.59,2.93
2004-01-01,-4.1,4.7,0.0,6.78,2.87
2004-01-01,-4.1,4.7,0.0,6.8,2.76
2004-01-01,-4.1,4.7,0.0,6.89,2.62
2004-01-01,-4.1,4.7,0.0,7.11,2.55
2004-01-01,-4.1,4.7,0.0,7.1,2.47
2004-01-01,-4.1,4.7,0.0,7.41,2.21
2004-01-01,-4.1,4.7,0.0,7.7,2.37
2004-01-01,-4.1,4.7,0.0,7.14,2.35
2004-01-01,-4.1,4.7,0.0,7.97,2.42
2004-01-01,-4.1,4.7,0.0,8.02,2.39
2004-01-01,-4.1,4.7,0.0,7.46,2.4
2004-01-01,-4.1,4.7,0.0,6.21,2.44
2004-01-01,-4.1,4.7,0.0,7.29,2.32
2004-01-01,-4.1,4.7,0.0,7.37,2.37
2004-01-01,-4.1,4.7,0.0,6.63,2.39
2004-01-01,-4.1,4.7,0.0,6.24,2.4
2004-01-01,-4.1,4.7,0.0,6.58,2.42
2004-01-01,-4.1,4.7,0.0,6.26,2.54
2004-01-01,-4.1,4.7,0.0,6.69,2.29
2004-01-01,-4.1,4.7,0.0,6.58,2.31
2004-01-01,-4.1,4.7,0.0,6.51,2.22
2004-01-01,-4.1,4.7,0.0,6.93,2.19
2004-01-01,-4.1,4.7,0.0,6.97,2.16
2004-01-01,-4.1,4.7,0.0,6.97,2.09
2004-01-01,-4.1,4.7,0.0,6.39,2.19
2004-01-01,-4.1,4.7,0.0,5.94,2.16
2004-01-01,-4.1,4.7,0.0,7.24,2.04
2004-01-01,-4.1,4.7,0.0,7.28,1.98
2004-01-01,-4.1,4.7,0.0,6.69,2.11
2004-01-01,-4.1,4.7,0.0,6.52,2.02
2004-01-01,-4.1,4.7,0.0,6.59,2.01
2004-01-01,-4.1,4.7,0.0,6.26,2.02
2004-01-01,-4.1,4.7,0.0,7.04,1.94
2004-01-01,-4.1,4.7,0.0,6.94,1.95
2004-01-01,-4.1,4.7,0.0,6.46,2.0
2004-01-01,-4.1,4.7,0.0,5.95,2.02
2004-01-01,-4.1,4.7,0.0,6.63,1.96
2004-01-01,-4.1,4.7,0.0,6.44,1.94
2004-01-01,-4.1,4.7,0.0,6.25,2.01
2004-01-01,-4.1,4.7,0.0,6.0,2.0
2004-01-01,-4.1,4.7,0.0,5.7,1.95
2004-01-01,-4.1,4.7,0.0,5.33,1.93
2004-01-01,-4.1,4.7,0.0,5.37,2.02
2004-01-01,-4.1,4.7,0.0,5.74,1.84
2004-01-01,-4.1,4.7,0.0,6.86,1.87
2004-01-01,-4.1,4.7,0.0,6.61,1.94
2004-01-01,-4.1,4.7,0.0,6.9,1.86
2004-01-01,-4.1,4.7,0.0,6.84,1.87
2004-01-01,-4.1,4.7,0.0,6.32,1.95
2004-01-01,-4.1,4.7,0.0,5.92,1.92
2004-01-01,-4.1,4.7,0.0,6.8,1.54
2004-01-01,-4.1,4.7,0.0,6.67,1.78
2004-01-01,-4.1,4.7,0.0,7.43,1.84
2004-01-01,-4.1,4.7,0.0,7.39,1.62
2004-01-01,-4.1,4.7,0.0,7.26,1.87
2004-01-01,-4.1,4.7,0.0,6.78,2.01
2004-01-01,-4.1,4.7,0.0,7.11,1.97
2004-01-01,-4.1,4.7,0.0,6.58,2.07
2004-01-01,-4.1,4.7,0.0,6.64,2.02
2004-01-01,-4.1,4.7,0.0,6.58,2.1
2004-01-01,-4.1,4.7,0.0,6.79,2.12
2004-01-01,-4.1,4.7,0.0,6.36,2.16
2004-01-01,-4.1,4.7,0.0,6.53,2.12
2004-01-01,-4.1,4.7,0.0,6.28,2.1
2004-01-01,-4.1,4.7,0.0,6.85,2.1
2004-01-01,-4.1,4.7,0.0,6.85,2.14
2004-01-01,-4.1,4.7,0.0,6.72,2.19
2004-01-01,-4.1,4.7,0.0,6.0,2.15
2004-01-01,-4.1,4.7,0.0,5.74,2.22
2004-01-01,-4.1,4.7,0.0,6.9,2.21
2004-01-01,-4.1,4.7,0.0,6.54,2.11
2004-01-01,-4.1,4.7,0.0,6.18,2.31
