,,t_min,t_max,dlen,day,state
88,15,0.05499999999999998,0.0,1.0569067748344358,0.3191489361702128,0.10643738100958787
88,16,0.057499999999999975,0.0,1.1243535102120383,0.3404255319148936,0.12606920231496133
88,17,0.057499999999999975,0.0,1.1917562700627407,0.3617021276595745,0.14871935491862906
88,18,0.057499999999999975,0.003750000000000009,1.259079958677389,0.3829787234042553,0.1746257958322908
88,19,0.10374999999999997,0.04500000000000002,1.3262896248862677,0.40425531914893614,0.2039638012047533
88,20,0.13249999999999998,0.07625000000000001,1.3933505247963573,0.425531914893617,0.23681652797943523
88,21,0.16624999999999995,0.1,1.4602281829209873,0.44680851063829785,0.27314516158481605
88,22,0.22249999999999998,0.1,1.5268884512545298,0.46808510638297873,0.3127628824510874
88,23,0.26999999999999996,0.1,1.593297565880593,0.48936170212765956,0.3553178460569104
88,24,0.30249999999999994,0.1,1.6594222007441188,0.5106382978723404,0.4002903844451873
88,25,0.31749999999999995,0.1,1.725229518264634,0.5319148936170213,0.44700826842060826
88,26,0.33624999999999994,0.11499999999999999,1.7906872165182786,0.5531914893617021,0.4946810517167706
88,27,0.3737499999999999,0.11499999999999999,1.855763572768775,0.574468085106383,0.5424507493221613
88,28,0.38249999999999995,0.11875,1.9204274831807961,0.5957446808510638,0.5894524086293408
88,29,0.3974999999999999,0.11875,1.9846484986020325,0.6170212765957447,0.6348757234627473
88,30,0.41999999999999993,0.11875,2.0483968563513844,0.6382978723404256,0.6780185803024381
88,31,0.4387499999999999,0.11875,2.1116435079991858,0.6595744680851063,0.7183254095124553
88,32,0.4387499999999999,0.11875,2.174360143170291,0.6808510638297872,0.7554067232758891
88,33,0.44125,0.11875,2.23651920944161,0.7021276595744681,0.7890400768309472
88,34,0.46624999999999994,0.1325,2.29809392844178,0.723404255319149,0.8191557832939724
88,35,0.5225,0.14625000000000005,2.3590583082917926,0.7446808510638298,0.845812415234629
88,36,0.5574999999999999,0.14625000000000005,2.4193871525515287,0.7659574468085106,0.8691673912203951
88,37,0.585,0.15125000000000002,2.479056065858193,0.7872340425531915,0.8894471480531483
88,38,0.6137499999999999,0.15125000000000002,2.5380414564588727,0.8085106382978723,0.9069200708889558
88,39,0.6449999999999999,0.15125000000000002,2.596320535851054,0.8297872340425532,0.9218739610773815
88,40,0.6699999999999999,0.15125000000000002,2.6538713157523004,0.851063829787234,0.9345986611698004
88,41,0.6924999999999999,0.15125000000000002,2.710672602623812,0.8723404255319149,0.945373647453311
88,42,0.7049999999999998,0.15125000000000002,2.766703989972724,0.8936170212765957,0.9544599355221023
88,43,0.7274999999999998,0.17750000000000005,2.821945848655151,0.9148936170212766,0.9620954516310822
88,44,0.7849999999999999,0.18875000000000003,2.8763793153966715,0.9361702127659575,0.9684930123006346
88,45,0.8537499999999998,0.20500000000000002,2.929986279739568,0.9574468085106383,0.9738401473529058
88,46,0.8887499999999997,0.22500000000000003,2.9827493696171326,0.9787234042553191,0.9783001385700545
88,47,0.9712499999999998,0.23750000000000004,3.034651935745079,1.0,0.9820137900379085
89,0,0.0,0.0,0.06298513525557761,0.0,0.0066928509242848554
89,1,0.02124999999999999,0.0,0.12648622539112891,0.023809523809523808,0.008279043875619086
89,2,0.02124999999999999,0.0,0.19047458827508304,0.047619047619047616,0.010237287162433682
89,3,0.02124999999999999,0.0,0.25492081512932213,0.07142857142857142,0.012652804483989623
89,4,0.02124999999999999,0.0,0.3197947963143308,0.09523809523809523,0.015629270047407037
89,5,0.02124999999999999,0.0,0.3850657511122667,0.11904761904761904,0.019292242724332255
89,6,0.02124999999999999,0.0,0.45070226151680776,0.14285714285714285,0.023792942398164606
89,7,0.03374999999999999,0.0,0.5166723099918353,0.16666666666666666,0.02931223075135632
89,8,0.03499999999999999,0.0,0.5829433211110924,0.19047619047619047,0.03606453809916635
89,9,0.039999999999999994,0.0,0.6494822069388325,0.21428571428571427,0.0443013043435336
89,10,0.039999999999999994,0.0,0.7162554159582589,0.23809523809523808,0.05431326613264062
89,11,0.039999999999999994,0.0,0.7832289853014593,0.2619047619047619,0.0664306227932143
89,12,0.039999999999999994,0.0,0.8503685959829228,0.2857142857142857,0.08101976866530781
89,13,0.039999999999999994,0.0,0.9176396307899347,0.30952380952380953,0.098474942354424
89,14,0.039999999999999994,0.0,0.985007234438589,0.3333333333333333,0.11920292202211755
89,15,0.039999999999999994,0.0,1.0524363755651265,0.35714285714285715,0.14359896874846004
89,16,0.05499999999999998,0.0,1.1198919100900135,0.38095238095238093,0.17201283293576133
89,17,0.057499999999999975,0.0,1.1873386454676158,0.40476190476190477,0.20470505527196242
89,18,0.057499999999999975,0.0,1.2547414053183181,0.42857142857142855,0.24179617240740997
89,19,0.057499999999999975,0.003750000000000009,1.3220650939329666,0.4523809523809524,0.28321463053491147
89,20,0.10374999999999997,0.04500000000000002,1.3892747601418451,0.47619047619047616,0.32865254651727
89,21,0.13249999999999998,0.07625000000000001,1.4563356600519348,0.5,0.3775406687981454
89,22,0.16624999999999995,0.1,1.5232133181765648,0.5238095238095238,0.4290534031165338
89,23,0.22249999999999998,0.1,1.5898735865101075,0.5476190476190477,0.48215044559386533
89,24,0.26999999999999996,0.1,1.6562827011361705,0.5714285714285714,0.5356536708339714
89,25,0.30249999999999994,0.1,1.7224073359996965,0.5952380952380952,0.5883486248147177
89,26,0.31749999999999995,0.1,1.7882146535202115,0.6190476190476191,0.6390927451628511
89,27,0.33624999999999994,0.11499999999999999,1.8536723517738563,0.6428571428571429,0.6869103646603126
89,28,0.3737499999999999,0.11499999999999999,1.9187487080243524,0.6666666666666666,0.7310585786300049
89,29,0.38249999999999995,0.11875,1.9834126184363736,0.6904761904761905,0.771056378226556
89,30,0.3974999999999999,0.11875,2.04763363385761,0.7142857142857143,0.8066786301976914
89,31,0.41999999999999993,0.11875,2.111381991606962,0.7380952380952381,0.837923334493486
89,32,0.4387499999999999,0.11875,2.1746286432547635,0.7619047619047619,0.8649635770771975
89,33,0.4387499999999999,0.11875,2.237345278425868,0.7857142857142857,0.8880950148326715
89,34,0.44125,0.11875,2.299504344697188,0.8095238095238095,0.9076869712477019
89,35,0.46624999999999994,0.1325,2.3610790636973578,0.8333333333333334,0.9241418199787566
89,36,0.5225,0.14625000000000005,2.4220434435473703,0.8571428571428571,0.9378643669135703
89,37,0.5574999999999999,0.14625000000000005,2.4823722878071064,0.8809523809523809,0.9492408869046234
89,38,0.585,0.15125000000000002,2.5420412011137707,0.9047619047619048,0.9586263489399246
89,39,0.6137499999999999,0.15125000000000002,2.60102659171445,0.9285714285714286,0.9663379607166015
89,40,0.6449999999999999,0.15125000000000002,2.659305671106632,0.9523809523809523,0.9726532132038171
89,41,0.6699999999999999,0.15125000000000002,2.7168564510078776,0.9761904761904762,0.9778108818934014
89,42,0.6924999999999999,0.15125000000000002,2.773657737879389,1.0,0.9820137900379085
90,0,0.0,0.0,0.06298513525557761,0.0,0.0066928509242848554
90,1,0.02124999999999999,0.0,0.12648622539112891,0.025,0.008367478599429592
90,2,0.02124999999999999,0.0,0.19047458827508304,0.05,0.010456706231918071
90,3,0.02124999999999999,0.0,0.25492081512932213,0.075,0.013060710529452992
90,4,0.02124999999999999,0.0,0.3197947963143308,0.1,0.016302499371440946
90,5,0.02124999999999999,0.0,0.3850657511122667,0.125,0.020332353342658753
90,6,0.02124999999999999,0.0,0.45070226151680776,0.15,0.02533270322687172
90,7,0.03374999999999999,0.0,0.5166723099918353,0.175,0.031523222754001344
90,8,0.03499999999999999,0.0,0.5829433211110924,0.2,0.039165722796764356
90,9,0.039999999999999994,0.0,0.6494822069388325,0.225,0.048568154350256104
90,10,0.039999999999999994,0.0,0.7162554159582589,0.25,0.060086650174007626
90,11,0.039999999999999994,0.0,0.7832289853014593,0.275,0.07412406519066317
90,12,0.039999999999999994,0.0,0.8503685959829228,0.3,0.09112296101485612
90,13,0.039999999999999994,0.0,0.9176396307899347,0.325,0.11155054018289644
90,14,0.039999999999999994,0.0,0.985007234438589,0.35,0.13587289700909427
90,15,0.039999999999999994,0.0,1.0524363755651265,0.375,0.16451646289656316
90,16,0.05499999999999998,0.0,1.1198919100900135,0.4,0.19781611144141825
90,17,0.057499999999999975,0.0,1.1873386454676158,0.425,0.23595240020253394
90,18,0.057499999999999975,0.0,1.2547414053183181,0.45,0.2788848219771369
90,19,0.057499999999999975,0.003750000000000009,1.3220650939329666,0.475,0.3262929005454785
90,20,0.10374999999999997,0.04500000000000002,1.3892747601418451,0.5,0.3775406687981454
90,21,0.13249999999999998,0.07625000000000001,1.4563356600519348,0.525,0.4316800165217521
90,22,0.16624999999999995,0.1,1.5232133181765648,0.55,0.48750260351578967
90,23,0.22249999999999998,0.1,1.5898735865101075,0.575,0.5436386872370788
90,24,0.26999999999999996,0.1,1.6562827011361705,0.6,0.5986876601124519
90,25,0.30249999999999994,0.1,1.7224073359996965,0.625,0.6513548646660542
90,26,0.31749999999999995,0.1,1.7882146535202115,0.65,0.7005671424739731
90,27,0.33624999999999994,0.11499999999999999,1.8536723517738563,0.675,0.7455466141264027
90,28,0.3737499999999999,0.11499999999999999,1.9187487080243524,0.7,0.7858349830425586
90,29,0.38249999999999995,0.11875,1.9834126184363736,0.725,0.8212735763411494
90,30,0.3974999999999999,0.11875,2.04763363385761,0.75,0.8519528019683106
90,31,0.41999999999999993,0.11875,2.111381991606962,0.775,0.878147149230382
90,32,0.4387499999999999,0.11875,2.1746286432547635,0.8,0.9002495108803148
90,33,0.4387499999999999,0.11875,2.237345278425868,0.825,0.918713920386427
90,34,0.44125,0.11875,2.299504344697188,0.85,0.9340109905087812
90,35,0.46624999999999994,0.1325,2.3610790636973578,0.875,0.9465966702001757
90,36,0.5225,0.14625000000000005,2.4220434435473703,0.9,0.9568927450589139
90,37,0.5574999999999999,0.14625000000000005,2.4823722878071064,0.925,0.9652765704666424
90,38,0.585,0.15125000000000002,2.5420412011137707,0.95,0.9720774262159269
90,39,0.6137499999999999,0.15125000000000002,2.60102659171445,0.975,0.9775772226349374
90,40,0.6449999999999999,0.15125000000000002,2.659305671106632,1.0,0.9820137900379085
91,0,0.0,0.0,0.06298513525557761,0.0,0.0066928509242848554
91,1,0.02124999999999999,0.0,0.12648622539112891,0.025,0.008367478599429592
91,2,0.02124999999999999,0.0,0.19047458827508304,0.05,0.010456706231918071
91,3,0.02124999999999999,0.0,0.25492081512932213,0.075,0.013060710529452992
91,4,0.02124999999999999,0.0,0.3197947963143308,0.1,0.016302499371440946
91,5,0.02124999999999999,0.0,0.3850657511122667,0.125,0.020332353342658753
91,6,0.02124999999999999,0.0,0.45070226151680776,0.15,0.02533270322687172
91,7,0.03374999999999999,0.0,0.5166723099918353,0.175,0.031523222754001344
91,8,0.03499999999999999,0.0,0.5829433211110924,0.2,0.039165722796764356
91,9,0.039999999999999994,0.0,0.6494822069388325,0.225,0.048568154350256104
91,10,0.039999999999999994,0.0,0.7162554159582589,0.25,0.060086650174007626
91,11,0.039999999999999994,0.0,0.7832289853014593,0.275,0.07412406519066317
91,12,0.039999999999999994,0.0,0.8503685959829228,0.3,0.09112296101485612
91,13,0.039999999999999994,0.0,0.9176396307899347,0.325,0.11155054018289644
91,14,0.039999999999999994,0.0,0.985007234438589,0.35,0.13587289700909427
91,15,0.039999999999999994,0.0,1.0524363755651265,0.375,0.16451646289656316
91,16,0.05499999999999998,0.0,1.1198919100900135,0.4,0.19781611144141825
91,17,0.057499999999999975,0.0,1.1873386454676158,0.425,0.23595240020253394
91,18,0.057499999999999975,0.0,1.2547414053183181,0.45,0.2788848219771369
91,19,0.057499999999999975,0.003750000000000009,1.3220650939329666,0.475,0.3262929005454785
91,20,0.10374999999999997,0.04500000000000002,1.3892747601418451,0.5,0.3775406687981454
91,21,0.13249999999999998,0.07625000000000001,1.4563356600519348,0.525,0.4316800165217521
91,22,0.16624999999999995,0.1,1.5232133181765648,0.55,0.48750260351578967
91,23,0.22249999999999998,0.1,1.5898735865101075,0.575,0.5436386872370788
91,24,0.26999999999999996,0.1,1.6562827011361705,0.6,0.5986876601124519
91,25,0.30249999999999994,0.1,1.7224073359996965,0.625,0.6513548646660542
91,26,0.31749999999999995,0.1,1.7882146535202115,0.65,0.7005671424739731
91,27,0.33624999999999994,0.11499999999999999,1.8536723517738563,0.675,0.7455466141264027
91,28,0.3737499999999999,0.11499999999999999,1.9187487080243524,0.7,0.7858349830425586
91,29,0.38249999999999995,0.11875,1.9834126184363736,0.725,0.8212735763411494
91,30,0.3974999999999999,0.11875,2.04763363385761,0.75,0.8519528019683106
91,31,0.41999999999999993,0.11875,2.111381991606962,0.775,0.878147149230382
91,32,0.4387499999999999,0.11875,2.1746286432547635,0.8,0.9002495108803148
91,33,0.4387499999999999,0.11875,2.237345278425868,0.825,0.918713920386427
91,34,0.44125,0.11875,2.299504344697188,0.85,0.9340109905087812
91,35,0.46624999999999994,0.1325,2.3610790636973578,0.875,0.9465966702001757
91,36,0.5225,0.14625000000000005,2.4220434435473703,0.9,0.9568927450589139
91,37,0.5574999999999999,0.14625000000000005,2.4823722878071064,0.925,0.9652765704666424
91,38,0.585,0.15125000000000002,2.5420412011137707,0.95,0.9720774262159269
91,39,0.6137499999999999,0.15125000000000002,2.60102659171445,0.975,0.9775772226349374
91,40,0.6449999999999999,0.15125000000000002,2.659305671106632,1.0,0.9820137900379085
92,0,0.02124999999999999,0.0,0.06350109013555132,0.0,0.0066928509242848554
92,1,0.02124999999999999,0.0,0.12748945301950543,0.02564102564102564,0.008415484611766545
92,2,0.02124999999999999,0.0,0.19193567987374452,0.05128205128205128,0.010576775777877424
92,3,0.02124999999999999,0.0,0.2568096610587532,0.07692307692307693,0.013285699449294341
92,4,0.02124999999999999,0.0,0.32208061585668907,0.10256410256410256,0.01667673844932125
