,,t_min,t_max,dlen,day,station,category,name,state
16,31,0.7012500000000002,0.6087499999999999,0.8624848706369633,0.8378378378378378,34927,10660,P·EP 28,1.0
16,32,0.7275000000000001,0.6424999999999998,0.8928128875209383,0.8648648648648649,34927,10660,P·EP 28,1.0
16,33,0.7887500000000001,0.7324999999999999,0.9231829282556241,0.8918918918918919,34927,10660,P·EP 28,1.0
16,34,0.8775000000000002,0.8149999999999998,0.9535797283523457,0.918918918918919,34927,10660,P·EP 28,1.0
16,35,0.9650000000000002,0.9124999999999999,0.9839880007780065,0.9459459459459459,34927,10660,P·EP 28,1.0
16,36,1.0587500000000003,1.0049999999999997,1.014392448825168,0.972972972972973,34927,10660,P·EP 28,1.0
16,37,1.1337500000000003,1.0699999999999998,1.0447777790120032,1.0,34927,10660,P·EP 28,1.0
17,0,0.05249999999999999,0.09500000000000001,0.022979338831204243,0.0,34927,10660,P·EP 28,0.0
17,1,0.12125,0.20500000000000002,0.04638480636908633,0.041666666666666664,34927,10660,P·EP 28,0.0
17,2,0.19499999999999998,0.31125,0.07020610285888702,0.08333333333333333,34927,10660,P·EP 28,0.0
17,3,0.27625,0.4025,0.09443267765851523,0.125,34927,10660,P·EP 28,0.0
17,4,0.37,0.48500000000000004,0.11905373056583099,0.16666666666666666,34927,10660,P·EP 28,0.0
17,5,0.44375,0.535,0.14405821360009957,0.20833333333333334,34927,10660,P·EP 28,0.01388888888888884
17,6,0.51125,0.6012500000000001,0.16943483325145345,0.25,34927,10660,P·EP 28,0.08333333333333331
17,7,0.5662499999999999,0.6850000000000002,0.1951720532108646,0.2916666666666667,34927,10660,P·EP 28,0.15277777777777773
17,8,0.6449999999999999,0.7762500000000001,0.22125809759164677,0.3333333333333333,34927,10660,P·EP 28,0.22222222222222215
17,9,0.7249999999999999,0.88125,0.2476809546518929,0.375,34927,10660,P·EP 28,0.2916666666666666
17,10,0.80625,0.9949999999999999,0.2744283810254905,0.4166666666666667,34927,10660,P·EP 28,0.361111111111111
17,11,0.8875,1.0775,0.3014879064674726,0.4583333333333333,34927,10660,P·EP 28,0.4305555555555554
