;Category;Name;Place;Origin;Sowing date;Crop date;Bloom date;Sow to Crop;Crop to Bloom;Harvest;Protein;Oil
1318;10044;СибНИИСХ 6;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-09;13.0;33.0;266.4;43.9;17.8
1333;10388;Соер 13-91;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-13;13.0;37.0;230.88;43.4;16.8
1351;10539;RG-20;Пушкин;Канада;2005-05-24;2005-06-06;2005-07-13;13.0;37.0;197.58;45.7;15.3
1370;10623;Мадева;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-16;13.0;40.0;335.22;43.7;16.4
1389;10651;ПЭП 2;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-11;13.0;35.0;235.32;45.1;15.9
1407;10654;ПЭП 17;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-11;13.0;35.0;219.78;42.5;16.5
1425;10655;ПЭП 18;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-11;13.0;35.0;255.3;40.3;17.5
1444;10658;ПЭП 26;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-18;13.0;42.0;286.38;40.9;15.9
1460;10659;ПЭП 27;Пушкин;Россия;2005-05-24;2005-06-07;2005-07-13;14.0;36.0;179.82;36.4;18.4
1480;10660;ПЭП 28;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-09;13.0;33.0;148.74;41.5;17.1
1498;10676;Степная 85;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-11;13.0;35.0;166.5;42.9;17.7
1516;10677;Степная 90;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-16;13.0;40.0;452.88;42.9;17.7
1535;10678;СибНИИК 15/83;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-13;13.0;37.0;177.6;44.0;17.4
1553;10680;Восход*1191/79;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-13;13.0;37.0;193.14;44.1;15.7
1572;5589;Fiskeby 840-2-7;Пушкин;Швеция;2005-05-24;2005-06-06;2005-07-16;13.0;40.0;313.02;42.8;15.9
1591;5826;Fiskeby 840-7-3;Пушкин;Швеция;2005-05-24;2005-06-06;2005-07-16;13.0;40.0;241.98;39.1;16.1
1611;5829;Fiskeby V;Пушкин;Швеция;2005-05-24;2005-06-06;2005-07-16;13.0;40.0;257.52;38.4;16.5
1630;5830;Fiskeby 1040-4-2;Пушкин;Швеция;2005-05-24;2005-06-06;2005-07-13;13.0;37.0;135.42;39.7;17.8
1650;6793;Bravalla;Пушкин;Швеция;2005-05-24;2005-06-06;2005-07-09;13.0;33.0;281.94;40.4;17.3
1669;9587;Белор;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-13;13.0;37.0;281.94;42.4;16.5
1689;9648;Mapl Ridge;Пушкин;Канада;2005-05-24;2005-06-06;2005-07-09;13.0;33.0;159.84;40.8;16.5
1708;9659;Магева;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-18;13.0;42.0;199.8;41.9;16.5
1727;9837;Sito;Пушкин;Германия;2005-05-24;2005-06-06;2005-07-09;13.0;33.0;404.04;37.6;18.0
1745;9922;Major;Пушкин;Франция;2005-05-24;2005-06-06;2005-07-13;13.0;37.0;244.2;39.0;16.3
1763;9951;УСХИ 6;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-13;13.0;37.0;24.42;44.0;15.4
1819;9953;Соер 4;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-16;13.0;40.0;213.12;42.3;15.5
1838;9959;Окская;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-16;13.0;40.0;197.58;43.8;15.5
1856;9960;Светлая;Пушкин;Россия;2005-05-24;2005-06-06;2005-07-13;13.0;37.0;219.78;43.7;16.7
1874;10043;Алтом;Пушкин;Россия;2005-06-07;2005-06-15;2005-07-24;8.0;39.0;77.7;42.9;14.7
1893;10044;СибНИИСХ 6;Пушкин;Россия;2005-06-07;2005-06-16;2005-07-16;9.0;30.0;177.6;49.7;15.7
1913;10388;Соер 13-91;Пушкин;Россия;2005-06-07;2005-06-16;2005-07-18;9.0;32.0;33.3;45.1;15.9
1932;10623;Мадева;Пушкин;Россия;2005-06-07;2005-06-14;2005-07-24;7.0;40.0;106.56;42.9;14.3
1951;10651;ПЭП 2;Пушкин;Россия;2005-06-07;2005-06-14;2005-07-18;7.0;34.0;97.68;45.1;15.7
1971;10654;ПЭП 17;Пушкин;Россия;2005-06-07;2005-06-14;2005-07-18;7.0;34.0;115.44;45.0;15.8
1991;10655;ПЭП 18;Пушкин;Россия;2005-06-07;2005-06-14;2005-07-18;7.0;34.0;190.92;43.5;15.8
2011;10658;ПЭП 26;Пушкин;Россия;2005-06-07;2005-06-14;2005-07-24;7.0;40.0;71.04;42.9;14.4
2031;10659;ПЭП 27;Пушкин;Россия;2005-06-07;2005-06-16;2005-07-20;9.0;34.0;153.18;38.8;16.6
2050;10660;ПЭП 28;Пушкин;Россия;2005-06-07;2005-06-14;2005-07-18;7.0;34.0;313.02;43.2;16.3
2069;10676;Степная 85;Пушкин;Россия;2005-06-07;2005-06-14;2005-07-24;7.0;40.0;199.8;45.7;16.1
2089;10680;Восход*1191/79;Пушкин;Россия;2005-06-07;2005-06-14;2005-07-24;7.0;40.0;122.1;44.0;15.4
2108;5589;Fiskeby 840-2-7;Пушкин;Швеция;2005-06-07;2005-06-16;2005-07-24;9.0;38.0;55.5;43.7;15.1
2128;5829;Fiskeby V;Пушкин;Швеция;2005-06-07;2005-06-16;2005-07-24;9.0;38.0;97.68;41.3;15.1
2147;9648;Mapl Ridge;Пушкин;Канада;2005-06-07;2005-06-16;2005-07-20;9.0;34.0;79.92;43.1;15.2
2167;9951;УСХИ 6;Пушкин;Россия;2005-06-07;2005-06-14;2005-07-24;7.0;40.0;66.6;45.1;14.6
2168;9951;УСХИ 6;Пушкин;Россия;2005-06-07;2005-06-16;2005-07-16;9.0;30.0;11.1;45.1;14.6
2205;9959;Окская;Пушкин;Россия;2005-06-07;2005-06-16;2005-07-24;9.0;38.0;28.86;46.7;14.3
