ID,d,t_min,t_max,dlen,day,station,category,name,state
48,8,0.05875000000000001,0.0,0.5897691905671298,0.11940298507462686,26063,9960,Svetlaya,0.1
48,9,0.05875000000000001,0.0,0.6567427599103303,0.13432835820895522,26063,9960,Svetlaya,0.1
48,10,0.08375000000000002,0.0,0.7238823705917937,0.14925373134328357,26063,9960,Svetlaya,0.1
48,11,0.10000000000000002,0.0,0.7911534053988056,0.16417910447761194,26063,9960,Svetlaya,0.1
48,12,0.13375,0.0,0.8585210090474599,0.1791044776119403,26063,9960,Svetlaya,0.1
48,13,0.15750000000000003,0.0,0.9259501501739976,0.19402985074626866,26063,9960,Svetlaya,0.1
48,14,0.16750000000000004,0.0,0.9934056846988846,0.208955223880597,26063,9960,Svetlaya,0.1
48,15,0.21000000000000005,0.004999999999999982,1.0608524200764868,0.22388059701492538,26063,9960,Svetlaya,0.1
48,16,0.25625000000000003,0.011249999999999982,1.1282551799271894,0.23880597014925373,26063,9960,Svetlaya,0.1
48,17,0.26750000000000007,0.011249999999999982,1.1955788685418376,0.2537313432835821,26063,9960,Svetlaya,0.1
48,18,0.26750000000000007,0.011249999999999982,1.2627885347507162,0.26865671641791045,26063,9960,Svetlaya,0.1
48,19,0.26750000000000007,0.011249999999999982,1.3298494346608059,0.2835820895522388,26063,9960,Svetlaya,0.1
48,20,0.26750000000000007,0.013749999999999974,1.396727092785436,0.29850746268656714,26063,9960,Svetlaya,0.1
48,21,0.27625000000000005,0.039999999999999994,1.4633873611189785,0.31343283582089554,26063,9960,Svetlaya,0.1
48,22,0.3325000000000001,0.04249999999999998,1.5297964757450415,0.3283582089552239,26063,9960,Svetlaya,0.1
48,23,0.3862500000000001,0.09624999999999999,1.5959211106085676,0.34328358208955223,26063,9960,Svetlaya,0.1
48,24,0.45875000000000005,0.13874999999999998,1.6617284281290825,0.3582089552238806,26063,9960,Svetlaya,0.1
48,25,0.50625,0.13874999999999998,1.7271861263827273,0.373134328358209,26063,9960,Svetlaya,0.1
48,26,0.5575,0.14875,1.7922624826332236,0.3880597014925373,26063,9960,Svetlaya,0.1
48,27,0.62,0.21125,1.8569263930452446,0.40298507462686567,26063,9960,Svetlaya,0.1
48,28,0.7075,0.2625,1.921147408466481,0.417910447761194,26063,9960,Svetlaya,0.1
48,29,0.75625,0.3075,1.984895766215833,0.43283582089552236,26063,9960,Svetlaya,0.1
48,30,0.80375,0.35250000000000004,2.0481424178636347,0.44776119402985076,26063,9960,Svetlaya,0.1
48,31,0.8837499999999998,0.38,2.1108590530347393,0.4626865671641791,26063,9960,Svetlaya,0.1
48,32,0.9537499999999998,0.38,2.1730181193060587,0.47761194029850745,26063,9960,Svetlaya,0.1
48,33,1.0349999999999997,0.41624999999999995,2.2345928383062286,0.4925373134328358,26063,9960,Svetlaya,0.2
